"Sample_ID","NMDS1","NMDS2","NMDS3","Sample_type","Phylum","Class","Order","Family","Genus","Species","Common_name","Leaf_type","DOC(uM)","TDN(uM)","Tf_volume(mL)","DOCflux(mg)","TDNflux(mg)","Comments","TreeID","Tree_DBH(cm)","Road_distance","Road_direction","Building_distance","Building_direction","Train_distance","Train_direction"
"DR02",-0.921185326504213,0.00509075390434444,0.0592517985427597,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Metasequoia","glyptostroboides","Dawn redwood","needles",NA,NA,NA,NA,NA,"Grass clippings",555,NA,NA,NA,NA,NA,NA,NA
"DR03",0.390731533962781,-0.00650933030633975,0.0588480871866174,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Metasequoia","glyptostroboides","Dawn redwood","needles",854.6217397,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA
"EB03",-0.690556315795911,-0.25132675190577,-0.046863186338063,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Fagus","sylvatica","European beech","leaves",NA,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA
"EL01",0.339802201440215,-0.0847931247168988,0.0689202471772043,"Throughfall","Anthophyta","Dicotyledoneae","Urticales","Ulmaceae","Ulmus","americana","American elm","leaves",1184.406819,NA,NA,NA,NA,NA,1243,NA,NA,NA,NA,NA,NA,NA
"EL02",0.211878861364228,-0.0352241427070811,0.0373749668725787,"Throughfall","Anthophyta","Dicotyledoneae","Urticales","Ulmaceae","Ulmus","americana","American elm","leaves",694.4102698,NA,NA,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA
"FD01",-0.872650583342856,-0.381823663367229,-0.0271663230406903,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Cornaceae","Cornus","florida","Flowering dogwood","leaves",NA,NA,NA,NA,NA,NA,1342,NA,NA,NA,NA,NA,NA,NA
"FD02",0.308041768010664,-0.248004879193682,-0.412226187446134,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Cornaceae","Cornus","florida","Flowering dogwood","leaves",505.3596624,NA,NA,NA,NA,NA,1334,NA,NA,NA,NA,NA,NA,NA
"FD03",-0.806683892824149,-0.227515569466331,-0.351234347241269,"Throughfall","Anthophyta","Dicotyledoneae","Cornales","Cornaceae","Cornus","florida","Flowering dogwood","leaves",NA,NA,NA,NA,NA,NA,1075,NA,NA,NA,NA,NA,NA,NA
"GR01",0.497056327349291,0.200947379425668,0.405406207354578,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Koelreuteria","paniculata","Golden raintree","leaves",11169.47414,NA,NA,NA,NA,NA,1383,NA,NA,NA,NA,NA,NA,NA
"GR02",0.515918807922505,-0.027856726697205,0.190020687678371,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Koelreuteria","paniculata","Golden raintree","leaves",696.0965738,NA,NA,NA,NA,NA,1420,NA,NA,NA,NA,NA,NA,NA
